Design,fitness_value,sorted_fitness
"[[1, 1, 2, 2, 3, 5, 2], [2, 3, 4, 2, 1, 2, 5], [3, 1, 3, 5, 3, 3, 3], [4, 1, 4, 4, 4, 2, 4], [5, 2, 3, 2, 1, 2, 4], [6, 2, 4, 3, 1, 4, 5]]",15.0,9.0
"[[1, 1, 2, 2, 3, 1, 5], [2, 3, 4, 2, 1, 3, 4], [3, 1, 3, 5, 3, 2, 4], [4, 1, 4, 4, 4, 4, 3], [5, 2, 3, 2, 1, 2, 1], [6, 2, 4, 3, 1, 4, 2]]",12.200000000000003,9.0
"[[1, 1, 2, 2, 3, 2, 5], [2, 3, 4, 2, 1, 4, 1], [3, 1, 3, 5, 3, 3, 1], [4, 1, 4, 4, 4, 3, 2], [5, 2, 3, 2, 1, 5, 4], [6, 2, 4, 3, 1, 2, 1]]",12.0,9.0
"[[1, 1, 2, 2, 3, 5, 4], [2, 3, 4, 2, 1, 1, 4], [3, 1, 3, 5, 3, 5, 2], [4, 1, 4, 4, 4, 1, 5], [5, 2, 3, 2, 1, 5, 5], [6, 2, 4, 3, 1, 5, 4]]",17.800000000000004,9.0
"[[1, 1, 2, 2, 3, 3, 5], [2, 3, 4, 2, 1, 3, 3], [3, 1, 3, 5, 3, 2, 1], [4, 1, 4, 4, 4, 1, 5], [5, 2, 3, 2, 1, 1, 4], [6, 2, 4, 3, 1, 2, 4]]",11.0,9.0
"[[1, 1, 2, 2, 3, 4, 3], [2, 3, 4, 2, 1, 2, 5], [3, 1, 3, 5, 3, 5, 1], [4, 1, 4, 4, 4, 2, 1], [5, 2, 3, 2, 1, 3, 4], [6, 2, 4, 3, 1, 2, 5]]",13.399999999999999,9.199999999999996
"[[1, 1, 2, 2, 3, 5, 2], [2, 3, 4, 2, 1, 3, 1], [3, 1, 3, 5, 3, 4, 1], [4, 1, 4, 4, 4, 2, 3], [5, 2, 3, 2, 1, 4, 4], [6, 2, 4, 3, 1, 2, 2]]",12.200000000000003,9.199999999999996
"[[1, 1, 2, 2, 3, 1, 4], [2, 3, 4, 2, 1, 1, 4], [3, 1, 3, 5, 3, 4, 2], [4, 1, 4, 4, 4, 3, 3], [5, 2, 3, 2, 1, 5, 2], [6, 2, 4, 3, 1, 1, 4]]",11.600000000000001,9.199999999999996
"[[1, 1, 2, 2, 3, 3, 4], [2, 3, 4, 2, 1, 4, 2], [3, 1, 3, 5, 3, 3, 1], [4, 1, 4, 4, 4, 1, 5], [5, 2, 3, 2, 1, 1, 2], [6, 2, 4, 3, 1, 2, 3]]",10.200000000000003,9.199999999999996
"[[1, 1, 2, 2, 3, 5, 3], [2, 3, 4, 2, 1, 5, 1], [3, 1, 3, 5, 3, 3, 1], [4, 1, 4, 4, 4, 2, 2], [5, 2, 3, 2, 1, 1, 3], [6, 2, 4, 3, 1, 3, 5]]",12.399999999999999,9.199999999999996
"[[1, 1, 2, 2, 3, 1, 3], [2, 3, 4, 2, 1, 3, 2], [3, 1, 3, 5, 3, 2, 4], [4, 1, 4, 4, 4, 1, 2], [5, 2, 3, 2, 1, 3, 2], [6, 2, 4, 3, 1, 4, 4]]",10.200000000000003,9.200000000000003
"[[1, 1, 2, 2, 3, 3, 3], [2, 3, 4, 2, 1, 2, 2], [3, 1, 3, 5, 3, 4, 3], [4, 1, 4, 4, 4, 5, 2], [5, 2, 3, 2, 1, 2, 3], [6, 2, 4, 3, 1, 3, 5]]",13.600000000000001,9.200000000000003
"[[1, 1, 2, 2, 3, 2, 2], [2, 3, 4, 2, 1, 2, 3], [3, 1, 3, 5, 3, 1, 4], [4, 1, 4, 4, 4, 5, 5], [5, 2, 3, 2, 1, 3, 1], [6, 2, 4, 3, 1, 3, 3]]",11.800000000000004,9.200000000000003
"[[1, 1, 2, 2, 3, 1, 2], [2, 3, 4, 2, 1, 3, 5], [3, 1, 3, 5, 3, 4, 4], [4, 1, 4, 4, 4, 3, 4], [5, 2, 3, 2, 1, 2, 2], [6, 2, 4, 3, 1, 4, 4]]",13.600000000000001,9.200000000000003
"[[1, 1, 2, 2, 3, 1, 4], [2, 3, 4, 2, 1, 4, 4], [3, 1, 3, 5, 3, 2, 1], [4, 1, 4, 4, 4, 4, 3], [5, 2, 3, 2, 1, 2, 3], [6, 2, 4, 3, 1, 4, 4]]",12.800000000000004,9.200000000000003
"[[1, 1, 2, 2, 3, 5, 4], [2, 3, 4, 2, 1, 1, 5], [3, 1, 3, 5, 3, 2, 3], [4, 1, 4, 4, 4, 5, 3], [5, 2, 3, 2, 1, 5, 3], [6, 2, 4, 3, 1, 1, 5]]",15.600000000000001,9.200000000000003
"[[1, 1, 2, 2, 3, 3, 3], [2, 3, 4, 2, 1, 2, 2], [3, 1, 3, 5, 3, 4, 2], [4, 1, 4, 4, 4, 5, 2], [5, 2, 3, 2, 1, 1, 2], [6, 2, 4, 3, 1, 3, 1]]",10.599999999999994,9.200000000000003
